dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.396413,5.134601,13.058365,8.713926,-8.408245,2.515044,1.236011
0.020000,10.451310,5.296485,13.229303,8.546928,-8.349922,2.916139,1.251649
0.020000,10.502702,5.456037,13.396929,8.381254,-8.283722,3.310012,1.266668
0.020000,10.550778,5.613179,13.561260,8.216580,-8.233693,2.501442,1.281090
0.020000,10.595716,5.767848,13.722325,8.053244,-8.166779,3.345668,1.294936
0.020000,10.637689,5.919986,13.880147,7.891091,-8.107673,2.955321,1.308227
0.020000,10.676861,6.069541,14.034747,7.730005,-8.054283,2.669507,1.320984
0.020000,10.713390,6.216473,14.186151,7.570214,-7.989569,3.235670,1.333227
0.020000,10.747424,6.360740,14.334378,7.411364,-7.942479,2.354498,1.344976
0.020000,10.779107,6.502314,14.479454,7.253762,-7.880120,3.117987,1.356251
0.020000,10.808574,6.641163,14.621395,7.097077,-7.834213,2.295329,1.367070
0.020000,10.835953,6.777266,14.760225,6.941503,-7.778707,2.775307,1.377452
0.020000,10.861368,6.910603,14.895963,6.786865,-7.731919,2.339417,1.387413
0.020000,10.884935,7.041157,15.028627,6.633204,-7.683043,2.443796,1.396970
0.020000,10.906764,7.168914,15.158235,6.480398,-7.640323,2.136004,1.406140
0.020000,10.926959,7.293862,15.284805,6.328510,-7.594394,2.296429,1.414937
0.020000,10.945621,7.415991,15.408352,6.177334,-7.558771,1.781158,1.423376
0.020000,10.962843,7.535297,15.528894,6.027110,-7.511204,2.378355,1.431472
0.020000,10.978714,7.651768,15.646441,5.877381,-7.486460,1.237185,1.439236
0.020000,10.993319,7.765405,15.761013,5.728567,-7.440679,2.289065,1.446682
0.020000,11.006739,7.876201,15.872619,5.580311,-7.412833,1.392290,1.453822
0.020000,11.019049,7.984156,15.981273,5.432710,-7.380041,1.639608,1.460667
0.020000,11.030323,8.089270,16.086990,5.285855,-7.342753,1.864410,1.467228
0.020000,11.040627,8.191541,16.189779,5.139434,-7.321023,1.086493,1.473515
0.020000,11.050027,8.290968,16.289650,4.993540,-7.294718,1.315224,1.479538
0.020000,11.058585,8.387556,16.386615,4.848275,-7.263269,1.572459,1.485306
0.020000,11.066357,8.481301,16.480682,4.703355,-7.246005,0.863181,1.490827
0.020000,11.073401,8.572208,16.571862,4.558987,-7.218397,1.380409,1.496111
0.020000,11.079766,8.660281,16.660165,4.415128,-7.192911,1.274321,1.501164
0.020000,11.085504,8.745521,16.745597,4.271618,-7.175523,0.869401,1.505995
0.020000,11.090660,8.827927,16.828165,4.128398,-7.161000,0.726154,1.510609
0.020000,11.095280,8.907507,16.907879,3.985696,-7.135097,1.295117,1.515014
0.020000,11.099404,8.984262,16.984744,3.843275,-7.121066,0.701593,1.519216
0.020000,11.103072,9.058193,17.058766,3.701102,-7.108657,0.620426,1.523220
0.020000,11.106322,9.129309,17.129957,3.559516,-7.079253,1.470195,1.527033
0.020000,11.109188,9.197606,17.198313,3.417836,-7.084010,-0.237824,1.530660
0.020000,11.111705,9.263092,17.263848,3.276730,-7.055293,1.435848,1.534104
0.020000,11.113903,9.325770,17.326564,3.135795,-7.046782,0.425528,1.537372
0.020000,11.115812,9.385641,17.386465,2.995078,-7.035813,0.548457,1.540467
0.020000,11.117460,9.442709,17.443558,2.854631,-7.022398,0.670770,1.543393
0.020000,11.118872,9.496980,17.497847,2.714443,-7.009360,0.651857,1.546154
0.020000,11.120074,9.548450,17.549331,2.574199,-7.012231,-0.143517,1.548754
0.020000,11.121088,9.597129,17.598020,2.434464,-6.986747,1.274183,1.551196
0.020000,11.121935,9.643017,17.643916,2.294811,-6.982661,0.204286,1.553483
0.020000,11.122635,9.686115,17.687020,2.155181,-6.981489,0.058625,1.555618
0.020000,11.123207,9.726427,17.727336,2.015821,-6.967990,0.674925,1.557604
0.020000,11.123667,9.763954,17.764866,1.876480,-6.967055,0.046768,1.559443
0.020000,11.124032,9.798700,17.799614,1.737403,-6.953818,0.661845,1.561137
0.020000,11.124316,9.830670,17.831585,1.598544,-6.942979,0.541954,1.562689
0.020000,11.124532,9.859858,17.860774,1.459442,-6.955104,-0.606250,1.564099
0.020000,11.124692,9.886272,17.887188,1.320732,-6.935516,0.979409,1.565371
0.020000,11.124807,9.909913,17.910829,1.182045,-6.934348,0.058400,1.566506
0.020000,11.124886,9.930780,17.931697,1.043382,-6.933111,0.061857,1.567504
0.020000,11.124938,9.948876,17.949793,0.904791,-6.929566,0.177243,1.568368
0.020000,11.124970,9.964202,17.965119,0.766317,-6.923720,0.292279,1.569098
0.020000,11.124987,9.976760,17.977677,0.627899,-6.920890,0.141534,1.569694
0.020000,11.124996,9.986547,17.987464,0.489336,-6.928161,-0.363549,1.570159
0.020000,11.124999,9.993567,17.994484,0.351026,-6.915475,0.634299,1.570492
0.020000,11.125000,9.997822,17.998738,0.212707,-6.915962,-0.024368,1.570693
0.020000,11.125000,9.999628,18.000545,0.090342,-6.118241,39.886057,1.570779
0.020000,11.125000,10.000000,18.000917,0.018580,-3.588090,126.507542,1.570796
0.020000,11.125000,10.000000,18.000917,0.000000,-0.929014,132.953809,1.570796
