dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,11.203143,5.858532,9.896008,8.478222,-4.591579,-3.085654,5.204940
0.020000,11.282998,5.711063,10.063710,8.385114,-4.655398,-3.190973,5.212552
0.020000,11.363109,5.565883,10.229526,8.290782,-4.716579,-3.059037,5.220803
0.020000,11.443522,5.423059,10.393432,8.195283,-4.774945,-2.918301,5.229670
0.020000,11.524277,5.282656,10.555402,8.098502,-4.839048,-3.205164,5.239133
0.020000,11.605402,5.144736,10.715411,8.000491,-4.900537,-3.074434,5.249170
0.020000,11.686921,5.009362,10.873435,7.901184,-4.965374,-3.241876,5.259756
0.020000,11.768848,4.876593,11.029447,7.800603,-5.029039,-3.183202,5.270869
0.020000,11.851187,4.746487,11.183419,7.698592,-5.100578,-3.576995,5.282485
0.020000,11.933936,4.619101,11.335322,7.595138,-5.172693,-3.605741,5.294576
0.020000,12.017083,4.494490,11.485126,7.490203,-5.246724,-3.701546,5.307118
0.020000,12.100607,4.372707,11.632799,7.383666,-5.326857,-4.006647,5.320081
0.020000,12.184479,4.253803,11.778308,7.275434,-5.411598,-4.237064,5.333435
0.020000,12.268661,4.137824,11.921618,7.165500,-5.496697,-4.254919,5.347151
0.020000,12.353107,4.024815,12.062693,7.053743,-5.587859,-4.558099,5.361194
0.020000,12.437761,3.914817,12.201494,6.940071,-5.683600,-4.787078,5.375533
0.020000,12.522562,3.807869,12.337983,6.824436,-5.781753,-4.907637,5.390131
0.020000,12.607438,3.704001,12.472119,6.706803,-5.881667,-4.995677,5.404954
0.020000,12.692311,3.603242,12.603860,6.587067,-5.986778,-5.255565,5.419963
0.020000,12.777097,3.505615,12.733164,6.465210,-6.092831,-5.302645,5.435121
0.020000,12.861704,3.411138,12.859988,6.341196,-6.200724,-5.394677,5.450390
0.020000,12.946034,3.319820,12.984289,6.215023,-6.308646,-5.396080,5.465731
0.020000,13.029987,3.231667,13.106022,6.086673,-6.417499,-5.442664,5.481106
0.020000,13.113457,3.146678,13.225145,5.956152,-6.526044,-5.427231,5.496476
0.020000,13.196333,3.064844,13.341615,5.823495,-6.632865,-5.341082,5.511802
0.020000,13.278504,2.986151,13.455390,5.688740,-6.737724,-5.242938,5.527049
0.020000,13.359856,2.910577,13.566429,5.551943,-6.839887,-5.108163,5.542179
0.020000,13.440276,2.838095,13.674692,5.413170,-6.938656,-4.938436,5.557157
0.020000,13.519647,2.768670,13.780142,5.272500,-7.033468,-4.740604,5.571950
0.020000,13.597858,2.702262,13.882743,5.130040,-7.122984,-4.475789,5.586525
0.020000,13.674795,2.638827,13.982459,4.985812,-7.211419,-4.421772,5.600852
0.020000,13.750349,2.578312,14.079260,4.840053,-7.287940,-3.826010,5.614902
0.020000,13.824412,2.520662,14.173116,4.692771,-7.364093,-3.807671,5.628650
0.020000,13.896881,2.465819,14.263998,4.544088,-7.434182,-3.504464,5.642070
0.020000,13.967654,2.413718,14.351880,4.394143,-7.497254,-3.153583,5.655139
0.020000,14.036638,2.364292,14.436742,4.243095,-7.552374,-2.755980,5.667839
0.020000,14.103738,2.317475,14.518561,4.090959,-7.606809,-2.721794,5.680149
0.020000,14.168870,2.273193,14.597321,3.937961,-7.649887,-2.153892,5.692054
0.020000,14.231951,2.231377,14.673003,3.784091,-7.693502,-2.180723,5.703540
0.020000,14.292902,2.191954,14.745592,3.629486,-7.730287,-1.839260,5.714592
0.020000,14.351652,2.154851,14.815078,3.474291,-7.759715,-1.471385,5.725201
0.020000,14.408136,2.119994,14.881451,3.318665,-7.781293,-1.078906,5.735357
0.020000,14.462287,2.087314,14.944699,3.162368,-7.814852,-1.677945,5.745052
0.020000,14.514050,2.056740,15.004817,3.005892,-7.823832,-0.449020,5.754280
0.020000,14.563370,2.028204,15.061798,2.849055,-7.841859,-0.901322,5.763034
0.020000,14.610199,2.001639,15.115637,2.691974,-7.854008,-0.607487,5.771312
0.020000,14.654494,1.976980,15.166333,2.534774,-7.860025,-0.300823,5.779109
0.020000,14.696208,1.954168,15.213877,2.377223,-7.877536,-0.875541,5.786423
0.020000,14.735311,1.933143,15.258274,2.219844,-7.868941,0.429737,5.793252
0.020000,14.771765,1.913850,15.299519,2.062251,-7.879645,-0.535204,5.799595
0.020000,14.805541,1.896237,15.337611,1.904616,-7.881771,-0.106321,5.805452
0.020000,14.836611,1.880257,15.372550,1.746931,-7.884240,-0.123425,5.810821
