dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,8.816802,8.579675,13.044323,4.199388,-5.829333,-1.049931,1.485306
0.020000,8.823548,8.661039,13.125967,4.082187,-5.860056,-1.536160,1.490827
0.020000,8.829673,8.740094,13.205259,3.964600,-5.879376,-0.965997,1.496111
0.020000,8.835219,8.816827,13.282192,3.846636,-5.898177,-0.940041,1.501164
0.020000,8.840227,8.891222,13.356756,3.728200,-5.921796,-1.180962,1.505995
0.020000,8.844735,8.963267,13.428941,3.609284,-5.945810,-1.200669,1.510609
0.020000,8.848779,9.032952,13.498744,3.490127,-5.957842,-0.601627,1.515014
0.020000,8.852396,9.100267,13.566155,3.370561,-5.978308,-1.023305,1.519216
0.020000,8.855618,9.165199,13.631167,3.250594,-5.998363,-1.002749,1.523220
0.020000,8.858476,9.227744,13.693778,3.130559,-6.001708,-0.167218,1.527033
0.020000,8.861000,9.287889,13.753976,3.009891,-6.033397,-1.584481,1.530660
0.020000,8.863219,9.345631,13.811760,2.889211,-6.034022,-0.031244,1.534104
0.020000,8.865160,9.400961,13.867124,2.768193,-6.050884,-0.843085,1.537372
0.020000,8.866847,9.453872,13.920062,2.646911,-6.064110,-0.661283,1.540467
0.020000,8.868305,9.504360,13.970571,2.525436,-6.073756,-0.482340,1.543393
0.020000,8.869555,9.552419,14.018647,2.403789,-6.082372,-0.430778,1.546154
0.020000,8.870620,9.598041,14.064281,2.281713,-6.103782,-1.070522,1.548754
0.020000,8.871520,9.641227,14.107476,2.159737,-6.098815,0.248395,1.551196
0.020000,8.872272,9.681970,14.148226,2.037505,-6.111600,-0.639256,1.553483
0.020000,8.872894,9.720264,14.186526,1.914988,-6.125827,-0.711392,1.555618
0.020000,8.873402,9.756109,14.222374,1.792428,-6.127989,-0.108093,1.557604
0.020000,8.873812,9.789499,14.255767,1.669624,-6.140237,-0.612367,1.559443
0.020000,8.874137,9.820434,14.286703,1.546814,-6.140495,-0.012919,1.561137
0.020000,8.874390,9.848912,14.315182,1.423976,-6.141862,-0.068324,1.562689
0.020000,8.874583,9.874926,14.341197,1.300722,-6.162707,-1.042259,1.564099
0.020000,8.874725,9.898478,14.364750,1.177636,-6.154339,0.418375,1.565371
0.020000,8.874828,9.919566,14.385838,1.054407,-6.161449,-0.355489,1.566506
0.020000,8.874898,9.938187,14.404459,0.931055,-6.167589,-0.307024,1.567504
0.020000,8.874945,9.954340,14.420612,0.807639,-6.170779,-0.159494,1.568368
0.020000,8.874973,9.968024,14.434296,0.684218,-6.171038,-0.012910,1.569098
0.020000,8.874989,9.979239,14.445511,0.560756,-6.173124,-0.104313,1.569694
0.020000,8.874996,9.987981,14.454253,0.437088,-6.183384,-0.513003,1.570159
0.020000,8.874999,9.994253,14.460525,0.313589,-6.174978,0.420279,1.570492
0.020000,8.875000,9.998054,14.464325,0.190039,-6.177505,-0.126359,1.570693
0.020000,8.875000,9.999668,14.465940,0.080718,-5.466020,35.574254,1.570779
0.020000,8.875000,10.000000,14.466272,0.016601,-3.205847,113.008692,1.570796
0.020000,8.875000,10.000000,14.466272,0.000000,-0.830063,118.789171,1.570796
